pl_name,hostname,default_flag,pl_orbsmax,pl_rade,pl_radj,pl_masse,st_refname,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_gaiamag
Kepler-144 b,Kepler-144,1,0.066,1.33,0.119,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6075,1.24,,384.917,11.9438
Kepler-144 c,Kepler-144,1,0.094,1.35,0.12,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6075,1.24,,384.917,11.9438
Kepler-1440 b,Kepler-1440,1,,1.26,0.112,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5698,0.96,0.98,1115.35,14.1018
Kepler-1441 b,Kepler-1441,1,,1.31,0.117,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5802,1,1,1110.48,14.2567
Kepler-1442 b,Kepler-1442,1,,3.93,0.351,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6394,1.44,1.34,608.68,12.0303
Kepler-1443 b,Kepler-1443,1,,0.97,0.087,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6289,1.27,1.19,593.646,12.212
Kepler-1444 b,Kepler-1444,1,,2.18,0.194,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5810,1.05,1.03,319.675,12.2578
Kepler-1445 b,Kepler-1445,1,,0.96,0.086,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6150,1.26,1.13,506.357,12.4184
Kepler-1446 b,Kepler-1446,1,,0.82,0.073,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4865,0.75,0.81,152.075,12.4086
Kepler-1447 b,Kepler-1447,1,,2.9,0.259,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5722,0.95,0.97,890.296,14.6643
Kepler-1448 b,Kepler-1448,1,,1.61,0.144,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5774,0.93,0.95,768.903,14.3796
Kepler-1449 b,Kepler-1449,1,,1.68,0.15,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5979,1.1,1.08,2006.48,15.0306
Kepler-145 b,Kepler-145,1,,2.65,0.236,37.1,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,1.85,1.32,566.85,11.8746
Kepler-145 c,Kepler-145,1,,4.32,0.385,79.4,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,1.85,1.32,566.85,11.8746
Kepler-1450 b,Kepler-1450,1,,1.71,0.153,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4524,0.68,0.71,505.829,15.4892
Kepler-1451 b,Kepler-1451,1,,3.35,0.299,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5782,0.99,1,1058.72,15.2999
Kepler-1452 b,Kepler-1452,1,,2.7,0.241,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6101,2.06,1.41,996.32,13.0714
Kepler-1453 b,Kepler-1453,1,,2.67,0.238,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5665,0.94,0.97,1196.04,15.5278
Kepler-1454 b,Kepler-1454,1,,1.88,0.168,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5448,0.86,0.9,780.566,14.8994
Kepler-1455 b,Kepler-1455,1,,2.16,0.193,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4075,0.6,0.62,357.621,15.8657
Kepler-1456 b,Kepler-1456,1,,1.14,0.102,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4231,0.62,0.64,370.312,15.445
Kepler-1457 b,Kepler-1457,1,,1.99,0.178,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5866,1.01,1.01,889.885,14.0283
Kepler-1458 b,Kepler-1458,1,,2.76,0.246,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5653,0.94,0.96,544.45,14.1996
Kepler-1459 b,Kepler-1459,1,,1.36,0.121,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4828,0.74,0.78,455.479,14.5519
Kepler-146 b,Kepler-146,1,0.2,3.71,0.331,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5948,1.21,,716.797,13.8031
Kepler-146 c,Kepler-146,1,0.364,3.13,0.279,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5948,1.21,,716.797,13.8031
Kepler-1460 b,Kepler-1460,1,,1.96,0.175,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4422,0.67,0.7,553.218,15.9191
Kepler-1461 b,Kepler-1461,1,,2.03,0.181,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4919,0.74,0.79,679.106,15.6949
Kepler-1462 b,Kepler-1462,1,,3.82,0.341,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5756,1,1,1017.82,15.8562
Kepler-1463 b,Kepler-1463,1,,1.86,0.166,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5679,0.95,0.96,1687.47,15.7236
Kepler-1464 b,Kepler-1464,1,,1.66,0.148,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5828,1.01,1.02,1151.73,14.1296
Kepler-1464 c,Kepler-1464,1,,1,0.089,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5828,1.01,1.02,1151.73,14.1296
Kepler-1465 b,Kepler-1465,1,,1.77,0.158,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4726,0.71,0.75,359.497,14.42
Kepler-1466 b,Kepler-1466,1,,1.55,0.138,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5884,1.02,1.01,631.949,13.8694
Kepler-1467 b,Kepler-1467,1,,3.3,0.294,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5332,0.82,0.86,852.888,15.5207
Kepler-1468 b,Kepler-1468,1,,1.73,0.154,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5893,1.05,1.04,1899.24,14.9515
Kepler-1468 c,Kepler-1468,1,,1.15,0.103,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5893,1.05,1.04,1899.24,14.9515
Kepler-1469 b,Kepler-1469,1,,2.8,0.25,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5507,0.89,0.92,1159.3,15.9891
Kepler-147 b,Kepler-147,1,0.113,1.53,0.136,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6012,1.47,,1042.02,13.9151
Kepler-147 c,Kepler-147,1,0.216,2.43,0.217,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6012,1.47,,1042.02,13.9151
Kepler-1470 b,Kepler-1470,1,,1.07,0.095,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4961,0.76,0.8,590.601,15.0436
Kepler-1471 b,Kepler-1471,1,,1.41,0.126,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5660,0.93,0.95,978.678,15.246
Kepler-1472 b,Kepler-1472,1,,1.9,0.17,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6159,1.25,1.16,1479.14,14.5898
Kepler-1473 b,Kepler-1473,1,,1.19,0.106,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6046,1.09,1.09,652.253,13.3679
Kepler-1474 b,Kepler-1474,1,,2.16,0.193,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5870,1.04,1.04,1180.9,15.2172
Kepler-1475 b,Kepler-1475,1,,2.92,0.261,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6214,1.28,1.18,1568.38,15.2775
Kepler-1476 b,Kepler-1476,1,,1.67,0.149,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5663,0.96,0.98,1002.74,15.4086
Kepler-1477 b,Kepler-1477,1,,1.18,0.105,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5100,0.78,0.81,680.828,14.5763
Kepler-1478 b,Kepler-1478,1,,1.73,0.154,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5904,1.06,1.04,1845.58,15.3994
Kepler-1479 b,Kepler-1479,1,,1.83,0.163,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5796,0.98,0.99,728.668,13.7331
Kepler-148 b,Kepler-148,1,0.028,1.8,0.161,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5272,0.85,,791.163,15.3362
Kepler-148 c,Kepler-148,1,0.05,3.6,0.321,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5272,0.85,,791.163,15.3362
Kepler-148 d,Kepler-148,1,,8.68,0.774,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5172,0.81,0.86,791.163,15.3362
Kepler-1480 b,Kepler-1480,1,,1.67,0.149,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5156,0.81,0.85,500.892,14.4824
Kepler-1481 b,Kepler-1481,1,,1.23,0.11,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4908,0.75,0.8,459.076,14.7429
Kepler-1482 b,Kepler-1482,1,,1.01,0.09,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5381,0.84,0.88,567.556,13.7295
Kepler-1483 b,Kepler-1483,1,,1.52,0.136,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6337,1.4,1.25,1273.78,14.4231
Kepler-1484 b,Kepler-1484,1,,2.11,0.188,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5730,0.92,0.94,2879.83,15.2474
Kepler-1485 b,Kepler-1485,1,,1.47,0.131,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6087,1.12,1.11,615.66,13.1796
Kepler-1486 b,Kepler-1486,1,,2.32,0.207,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5965,1.12,1.08,1769.14,15.2937
Kepler-1487 b,Kepler-1487,1,,2.13,0.19,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6541,1.63,1.38,1014.62,13.4508
Kepler-1488 b,Kepler-1488,1,,1.86,0.166,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5820,1.31,1.05,905.825,13.0767
Kepler-1489 b,Kepler-1489,1,,1.77,0.158,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5655,0.9,0.93,1283.05,14.8084
Kepler-149 b,Kepler-149,1,0.184,4.21,0.376,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5381,0.95,,571.034,14.0194
Kepler-149 c,Kepler-149,1,0.281,1.61,0.144,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5381,0.95,,571.034,14.0194
Kepler-149 d,Kepler-149,1,0.571,3.96,0.353,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5381,0.95,,571.034,14.0194
Kepler-1490 b,Kepler-1490,1,,3.04,0.271,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5515,0.87,0.9,862.92,15.4179
Kepler-1491 b,Kepler-1491,1,,1.51,0.135,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5728,0.99,1,2065.59,15.5695
Kepler-1492 b,Kepler-1492,1,,1.49,0.133,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4712,0.72,0.77,331.553,14.4962
Kepler-1493 b,Kepler-1493,1,,1.41,0.126,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5863,1.29,1.06,555.051,13.5532
Kepler-1494 b,Kepler-1494,1,,3.07,0.274,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5659,0.94,0.96,1285.48,15.217
Kepler-1495 b,Kepler-1495,1,,2.94,0.262,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5831,1.04,1.03,1355.54,15.6247
Kepler-1496 b,Kepler-1496,1,,2.22,0.198,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6182,1.27,1.18,1307.66,14.6819
Kepler-1497 b,Kepler-1497,1,,1.66,0.148,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5675,0.95,0.96,,15.3761
Kepler-1498 b,Kepler-1498,1,,1.33,0.119,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5256,0.81,0.86,,15.0997
Kepler-1499 b,Kepler-1499,1,,1.19,0.106,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5097,0.78,0.82,309.869,13.5155
Kepler-15 b,Kepler-15,1,0.05714,10.76,0.96,209.76,<a refstr=ENDL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197...13E/abstract target=ref> Endl et al. 2011 </a>,,5515,0.99,1.02,739.412,13.7136
Kepler-150 b,Kepler-150,1,0.044,1.25,0.112,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560,0.94,,891.092,14.9743
Kepler-150 c,Kepler-150,1,0.073,3.69,0.329,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560,0.94,,891.092,14.9743
Kepler-150 d,Kepler-150,1,0.104,2.79,0.249,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560,0.94,,891.092,14.9743
Kepler-150 e,Kepler-150,1,0.189,3.12,0.278,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560,0.94,,891.092,14.9743
Kepler-150 f,Kepler-150,1,1.24,3.64,0.325,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5528,0.91,0.97,891.092,14.9743
Kepler-1500 b,Kepler-1500,1,,1.2,0.107,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5845,1,1,1217.82,14.5804
Kepler-1501 b,Kepler-1501,1,,1.56,0.139,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6229,1.3,1.2,749.06,13.6458
Kepler-1502 b,Kepler-1502,1,,3.18,0.284,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6666,1.72,1.44,1514.02,14.0931
Kepler-1503 b,Kepler-1503,1,,2.27,0.203,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5069,0.74,0.77,1225.57,15.7862
Kepler-1504 b,Kepler-1504,1,,2.13,0.19,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5393,0.81,0.85,2435.94,15.6311
Kepler-1505 b,Kepler-1505,1,,0.93,0.083,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5686,0.86,0.93,495.148,12.9258
Kepler-1506 b,Kepler-1506,1,,1.32,0.118,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5676,0.93,0.95,2366.02,15.6243
Kepler-1507 b,Kepler-1507,1,,0.84,0.075,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5410,0.85,0.89,320.478,13.1038
Kepler-1508 b,Kepler-1508,1,,1.33,0.119,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6158,1.22,1.14,1260.28,14.3466
Kepler-1509 b,Kepler-1509,1,,1.85,0.165,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5780,0.99,1,2002.96,15.3316
Kepler-151 b,Kepler-151,1,0.116,3.06,0.273,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5460,0.83,,649.919,14.7189
Kepler-151 c,Kepler-151,1,0.16,2.09,0.186,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5460,0.83,,649.919,14.7189
Kepler-1510 b,Kepler-1510,1,,3.36,0.3,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6200,1.28,1.19,1696.25,15.1424
Kepler-1511 b,Kepler-1511,1,,1.68,0.15,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6064,1.29,1.17,1475.6,13.5024
Kepler-1512 b,Kepler-1512,1,,1.18,0.105,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4372,0.67,0.73,,13.2634
Kepler-1513 b,Kepler-1513,1,,8.46,0.755,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5617,0.97,0.99,349.247,12.9559
Kepler-1514 b,Kepler-1514,1,0.753,12.42,1.108,1678.1424,<a refstr=DALBA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201204676D/abstract target=ref>Dalba et al. 2020</a>,,6145,1.29,1.2,397.292,11.8292
Kepler-1514 c,Kepler-1514,1,0.0997,1.176,0.105,,<a refstr=DALBA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201204676D/abstract target=ref>Dalba et al. 2020</a>,,6145,1.29,1.2,397.292,11.8292
Kepler-1515 b,Kepler-1515,1,,9.55,0.852,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6511,1.41,1.3,539.321,11.9975
Kepler-1516 b,Kepler-1516,1,,1.75,0.156,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5904,1.07,1.04,1358.95,14.4469
Kepler-1517 b,Kepler-1517,1,,9.76,0.871,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,7010,1.95,1.58,847.299,12.1739
Kepler-1518 b,Kepler-1518,1,,3.05,0.272,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6846,1.88,1.54,903.51,13.2803
Kepler-1519 b,Kepler-1519,1,,7.06,0.63,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5644,0.91,0.94,1441.63,14.8034
Kepler-152 b,Kepler-152,1,0.124,2.79,0.249,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5088,0.72,,441.09,14.2437
Kepler-152 c,Kepler-152,1,0.356,2.39,0.213,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5088,0.72,,441.09,14.2437
Kepler-1520 b,Kepler-1520,1,,5.77,0.515,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4677,0.71,0.76,607.917,15.6932
Kepler-1521 b,Kepler-1521,1,,2.5,0.223,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5042,0.76,0.81,206.983,12.8476
Kepler-1522 b,Kepler-1522,1,,1.73,0.154,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5706,0.93,0.96,814.125,14.1963
